TITLE = "Example: Simple XY Plot"
VARIABLES = "X", "Y", "Z", "Distance", "Temperature"
ZONE T="Only Zone", I=20, J=2, K=1, F=POINT
0.0 0.0 0.0 0.0 850.9
0.0 0.0 0.0 0.022 790.1
0.0 0.0 0.0 0.051 554.0
0.0 0.0 0.0 0.069 540.0
0.0 0.0 0.0 0.075 545.5
0.0 0.0 0.0 0.083 549.4
0.0 0.0 0.0 0.106 590.2
0.0 0.0 0.0 0.1234 535.1
0.0 0.0 0.0 0.15 601.0
0.0 0.0 0.0 0.201 664.5
0.0 0.0 0.0 0.25 635.9
0.0 0.0 0.0 0.35 599.9
0.0 0.0 0.0 0.4454 600.0
0.0 0.0 0.0 0.49 513.0
0.0 0.0 0.0 0.5656 442.0
0.0 0.0 0.0 0.6423 333.5
0.0 0.0 0.0 0.6604 300.4
0.0 0.0 0.0 0.7 245.7
0.0 0.0 0.0 0.89 221.4
0.0 0.0 0.0 1.3 200.0
